day,date,month,start,end,title,pdf,ipynb,speaker,institution,youtube
Thursday,17,September,8:00,9:00,**Arrivals**,,,,,
Thursday,17,September,9:00,9:15,**Welcome**,,,Neil Lawrence,University of Sheffield,
Thursday,17,September,9:15,10:15,**TBA**,,,Nando de Freitas,University of Oxford and Google DeepMind,
Thursday,17,September,10:15,10:30,**Coffee Break**,,,,,
Thursday,17,September,10:30,11:30,**TBA**,,,Matthew Hoffman,University of Cambridge,
Thursday,17,September,10:30,11:30,**TBA**,,,Marc Deisenroth,Imperial College,
Thursday,17,September,12:30,13:30,**Lunch Break**,,,,,
Thursday,17,September,13:30,14:30,**TBA**,,,David Gisbourgher,IDIAP,
Thursday,17,September,15:30,16:00,**Tea Break**,
Thursday,17,September,16:00,17:00,**TBA**,,,Michael Osborne,University of Oxford,
